Date,Crop,Price_NIS_Ton,Demand_Ton
2020-01-01,Rice,4582.48,2197
2020-01-08,Rice,4530.35,2118
2020-01-15,Rice,4856.62,2120
2020-01-22,Rice,4787.14,2119
2020-01-29,Rice,4626.4,2240
2020-02-05,Rice,4858.24,1990
2020-02-12,Rice,4856.09,2068
2020-02-19,Rice,4901.02,2081
2020-02-26,Rice,5048.79,1893
2020-03-04,Rice,5006.49,1942
2020-03-11,Rice,4861.32,2023
2020-03-18,Rice,5048.42,2019
2020-03-25,Rice,5076.98,1961
2020-04-01,Rice,4973.86,1936
2020-04-08,Rice,5038.98,2027
2020-04-15,Rice,4776.68,2010
2020-04-22,Rice,4926.5,1996
2020-04-29,Rice,4992.18,2075
2020-05-06,Rice,4763.69,2040
2020-05-13,Rice,4723.34,2042
2020-05-20,Rice,4631.51,2086
2020-05-27,Rice,4512.93,2314
2020-06-03,Rice,4267.26,2349
2020-06-10,Rice,4397.71,2297
2020-06-17,Rice,4327.25,2258
2020-06-24,Rice,4413.95,2292
2020-07-01,Rice,4276.45,2341
2020-07-08,Rice,4334.56,2361
2020-07-15,Rice,4099.13,2516
2020-07-22,Rice,4339.45,2243
2020-07-29,Rice,4331.17,2364
2020-08-05,Rice,4208.86,2285
2020-08-12,Rice,3946.26,2622
2020-08-19,Rice,4008.89,2559
2020-08-26,Rice,3960.75,2622
2020-09-02,Rice,3939.18,2606
2020-09-09,Rice,3943.83,2471
2020-09-16,Rice,3903.59,2619
2020-09-23,Rice,4015.33,2535
2020-09-30,Rice,3876.1,2507
2020-10-07,Rice,3849.05,2614
2020-10-14,Rice,4069.26,2377
2020-10-21,Rice,4173.91,2428
2020-10-28,Rice,3920.26,2468
2020-11-04,Rice,4376.68,2341
2020-11-11,Rice,4134.46,2442
2020-11-18,Rice,4199.82,2402
2020-11-25,Rice,4126.54,2468
2020-12-02,Rice,4521.88,2154
2020-12-09,Rice,4466.95,2203
2020-12-16,Rice,4375.64,2344
2020-12-23,Rice,4379.5,2346
2020-12-30,Rice,4609.95,2191
2021-01-06,Rice,4873.51,2018
2021-01-13,Rice,4707.9,2182
2021-01-20,Rice,4882.79,1990
2021-01-27,Rice,4723.95,2097
2021-02-03,Rice,4830.05,2076
2021-02-10,Rice,4838.6,1969
2021-02-17,Rice,5003.79,1994
2021-02-24,Rice,4709.63,2124
2021-03-03,Rice,5149.56,1912
2021-03-10,Rice,4757.55,2012
2021-03-17,Rice,5106.72,1957
2021-03-24,Rice,4840.32,2055
2021-03-31,Rice,4903.28,1943
2021-04-07,Rice,4792.07,2054
2021-04-14,Rice,4997.52,1971
2021-04-21,Rice,5040.46,1974
2021-04-28,Rice,4841.89,2129
2021-05-05,Rice,4721.43,2154
2021-05-12,Rice,4700.22,2194
2021-05-19,Rice,4558.9,2172
2021-05-26,Rice,4677.23,2183
2021-06-02,Rice,4524.08,2161
2021-06-09,Rice,4378.48,2272
2021-06-16,Rice,4494.93,2245
2021-06-23,Rice,4488.52,2171
2021-06-30,Rice,4512.81,2269
2021-07-07,Rice,4330.38,2268
2021-07-14,Rice,4198.01,2359
2021-07-21,Rice,4014.26,2469
2021-07-28,Rice,4156.47,2486
2021-08-04,Rice,3979.35,2545
2021-08-11,Rice,4011.79,2472
2021-08-18,Rice,4046.03,2377
2021-08-25,Rice,3876.85,2613
2021-09-01,Rice,3925.03,2489
2021-09-08,Rice,3975.37,2545
2021-09-15,Rice,4023.61,2523
2021-09-22,Rice,3861.47,2611
2021-09-29,Rice,3866.19,2638
2021-10-06,Rice,4203.48,2374
2021-10-13,Rice,3928.63,2581
2021-10-20,Rice,3927.9,2593
2021-10-27,Rice,3868.76,2628
2021-11-03,Rice,4342.16,2324
2021-11-10,Rice,4215.6,2419
2021-11-17,Rice,4080.28,2411
2021-11-24,Rice,4252.69,2282
2021-12-01,Rice,4453.79,2273
2021-12-08,Rice,4550.49,2239
2021-12-15,Rice,4382.45,2250
2021-12-22,Rice,4481.8,2253
2021-12-29,Rice,4300.36,2247
2022-01-05,Rice,4832.58,2104
2022-01-12,Rice,4609.21,2211
2022-01-19,Rice,4660.78,2113
2022-01-26,Rice,4896.25,1943
2022-02-02,Rice,4768.48,1997
2022-02-09,Rice,4894.12,2021
2022-02-16,Rice,4952.29,1975
2022-02-23,Rice,4705.78,2169
2022-03-02,Rice,5138.32,1974
2022-03-09,Rice,5152.85,2025
2022-03-16,Rice,4903.38,2055
2022-03-23,Rice,4769.38,2042
2022-03-30,Rice,4975.06,2028
2022-04-06,Rice,4927.58,1988
2022-04-13,Rice,4976.78,2044
2022-04-20,Rice,4690.29,2216
2022-04-27,Rice,4902.23,2069
2022-05-04,Rice,4834.18,2038
2022-05-11,Rice,4616.97,2143
2022-05-18,Rice,4508.89,2301
2022-05-25,Rice,4641.45,2059
2022-06-01,Rice,4533.51,2152
2022-06-08,Rice,4513.81,2192
2022-06-15,Rice,4443.21,2165
2022-06-22,Rice,4582.37,2100
